section name,section type,size
.rodata.ql_emod_process_gsm_cell_info.str1.1,rodata,88
.rodata.ql_emod_rsp.str1.1,rodata,384
.rodata.ql_nw_get_cell_info.str1.1,rodata,164
.rodata.ql_nw_get_csq.str1.1,rodata,365
.rodata.ql_nw_get_nitz_time_info.str1.1,rodata,106
.rodata.ql_nw_get_operator_name.str1.1,rodata,186
.rodata.ql_nw_get_selection.str1.1,rodata,83
.rodata.ql_nw_get_signal_strength.str1.1,rodata,105
.rodata.ql_nw_init.str1.1,rodata,11
.rodata.ql_nw_msg_process.str1.1,rodata,55
.rodata.ql_nw_set_mode.str1.1,rodata,120
.rodata.ql_nw_set_selection.str1.1,rodata,424
.rodata.quec_get_reg_status.str1.1,rodata,129
.rodata.quec_get_regstatus.str1.1,rodata,48
.rodata.quec_pdpAddressToStr.str1.1,rodata,56
.rodata.quec_regstatus_rda2quec.str1.1,rodata,44
.rodata.quec_save_nw_sync_time.str1.1,rodata,92
.text.ql_rtos_task_yield,text,4
.text.ql_rtos_task_suspend,text,44
.text.ql_rtos_task_resume,text,44
.text.ql_rtos_task_get_current_ref,text,60
.text.ql_rtos_task_change_priority,text,88
.text.ql_rtos_task_get_priority,text,52
.text.ql_rtos_task_sleep_ms,text,32
.text.ql_rtos_task_sleep_s,text,40
.text.ql_rtos_event_send,text,60
.text.ql_event_wait,text,44
.text.ql_event_try_wait,text,20
.text.ql_rtos_enter_critical,text,4
.text.ql_rtos_exit_critical,text,4
.text.ql_rtos_semaphore_create,text,84
.text.ql_rtos_semaphore_wait,text,56
.text.ql_rtos_semaphore_release,text,48
.text.ql_rtos_semaphore_get_cnt,text,52
.text.ql_rtos_semaphore_delete,text,48
.text.ql_rtos_mutex_create,text,64
.text.ql_rtos_mutex_lock,text,56
.text.ql_rtos_mutex_try_lock,text,60
.text.ql_rtos_mutex_unlock,text,48
.text.ql_rtos_task_create,text,272
.text.ql_rtos_task_create_default,text,252
.text.ql_rtos_task_delete,text,132
.text.ql_rtos_mutex_delete,text,48
.text.ql_rtos_queue_create,text,68
.text.ql_rtos_queue_wait,text,64
.text.ql_rtos_queue_release,text,68
.text.ql_rtos_queue_get_cnt,text,52
.text.ql_rtos_queue_delete,text,48
.text.ql_rtos_timer_create,text,72
.text.ql_rtos_timer_start,text,72
.text.ql_rtos_timer_start_us,text,60
.text.ql_rtos_timer_start_relaxed,text,72
.text.ql_rtos_timer_stop,text,56
.text.ql_rtos_timer_delete,text,48
.text.ql_rtos_swdog_register,text,140
.text.ql_rtos_swdog_unregister,text,104
.text.ql_rtos_feed_dog,text,72
.text.ql_rtos_sw_dog_enable,text,60
.text.ql_rtos_sw_dog_disable,text,24
.text.ql_gettimeofday,text,60
.text.ql_rtos_get_system_tick,text,24
.rodata.__FUNCTION__.9627,rodata,20
.rodata.__FUNCTION__.9637,rodata,28
.rodata.__FUNCTION__.9641,rodata,20
.rodata.__FUNCTION__.9648,rodata,21
.rodata.__FUNCTION__.9652,rodata,20
.rodata.__FUNCTION__.9656,rodata,29
.rodata.__FUNCTION__.9662,rodata,29
.rodata.__FUNCTION__.9667,rodata,26
.rodata.__FUNCTION__.9671,rodata,22
.rodata.__FUNCTION__.9675,rodata,21
.rodata.__FUNCTION__.9685,rodata,19
.rodata.__FUNCTION__.9703,rodata,25
.rodata.__FUNCTION__.9708,rodata,23
.rodata.__FUNCTION__.9712,rodata,26
.rodata.__FUNCTION__.9717,rodata,26
.rodata.__FUNCTION__.9721,rodata,25
.rodata.__FUNCTION__.9725,rodata,21
.rodata.__FUNCTION__.9730,rodata,19
.rodata.__FUNCTION__.9734,rodata,23
.rodata.__FUNCTION__.9738,rodata,21
.rodata.__FUNCTION__.9742,rodata,21
.rodata.__FUNCTION__.9748,rodata,21
.rodata.__FUNCTION__.9755,rodata,19
.rodata.__FUNCTION__.9762,rodata,22
.rodata.__FUNCTION__.9767,rodata,22
.rodata.__FUNCTION__.9771,rodata,21
.rodata.__FUNCTION__.9779,rodata,21
.rodata.__FUNCTION__.9786,rodata,20
.rodata.__FUNCTION__.9792,rodata,23
.rodata.__FUNCTION__.9800,rodata,28
.rodata.__FUNCTION__.9804,rodata,19
.rodata.__FUNCTION__.9808,rodata,21
.rodata.__FUNCTION__.9815,rodata,23
.rodata.__FUNCTION__.9819,rodata,25
.rodata.__FUNCTION__.9825,rodata,17
.rodata.__FUNCTION__.9830,rodata,22
.rodata.ql_rtos_feed_dog.str1.1,rodata,37
.rodata.ql_rtos_semaphore_create.str1.1,rodata,42
.rodata.ql_rtos_swdog_register.str1.1,rodata,71
.rodata.ql_rtos_task_create.str1.1,rodata,157
.rodata.ql_rtos_task_delete.str1.1,rodata,114
.rodata.ql_rtos_task_suspend.str1.1,rodata,31
.text.dog_timer_cb,text,2
.text.api_push_task_info_to_list,text,84
.text.api_get_task_info_from_list,text,188
.text.api_task_info_init,text,104
.text.api_get_task_name_by_ref,text,144
.text.api_get_info_by_taskRef,text,168
.text.api_remove_task_info,text,132
.text.sw_dog_init,text,124
.text.api_get_swdog_cb_from_list,text,204
.text.sw_dog_register_cb,text,252
.text.sw_dog_unregister_cb,text,200
.text.get_dog_cb_cnt,text,68
.text.sw_dog_callback,text,200
.text.api_task_init,text,124
.text.quec_api_task_init,text,4
.text.api_get_dog_cblist_info,text,176
.text.api_feed_dog,text,60
.text.api_sw_dog_enable,text,156
.text.api_sw_dog_disable,text,60
.rodata.__FUNCTION__.8636,rodata,27
.rodata.__FUNCTION__.8644,rodata,28
.rodata.__FUNCTION__.8651,rodata,19
.rodata.__FUNCTION__.8660,rodata,25
.rodata.__FUNCTION__.8670,rodata,21
.rodata.__FUNCTION__.8680,rodata,24
.rodata.__FUNCTION__.8692,rodata,16
.rodata.__FUNCTION__.8704,rodata,12
.rodata.__FUNCTION__.8713,rodata,19
.rodata.__FUNCTION__.8724,rodata,27
.rodata.__FUNCTION__.8732,rodata,19
.rodata.__FUNCTION__.8766,rodata,54
.rodata.__FUNCTION__.8775,rodata,13
.rodata.__FUNCTION__.8781,rodata,18
.rodata.__FUNCTION__.8786,rodata,19
.rodata.api_feed_dog.str1.1,rodata,36
.rodata.api_get_swdog_cb_from_list.str1.1,rodata,86
.rodata.api_get_task_info_from_list.str1.1,rodata,125
.rodata.api_push_task_info_to_list.str1.1,rodata,99
.rodata.api_remove_task_info.str1.1,rodata,76
.rodata.api_sw_dog_enable.str1.1,rodata,117
.rodata.api_task_info_init.str1.1,rodata,49
.rodata.api_task_init.str1.1,rodata,134
.rodata.sw_dog_callback.str1.1,rodata,149
.rodata.sw_dog_init.str1.1,rodata,103
.rodata.sw_dog_register_cb.str1.1,rodata,220
.rodata.sw_dog_unregister_cb.str1.1,rodata,111
.text._ql_PowerdownCB,text,20
.text._ql_ResetCB,text,4
.text.ql_power_down,text,224
.text.ql_power_reset,text,256
.text.ql_lpm_wakelock_create,text,168
.text.ql_lpm_wakelock_delete,text,108
.text.ql_lpm_wakelock_lock,text,96
.text.ql_lpm_wakelock_unlock,text,96
.text.ql_autosleep_enable,text,20
.text.ql_autosleepex_enable,text,152
.text.ql_get_vchg_vol,text,52
.text.ql_get_vbus_state,text,52
.text.ql_get_battery_vol,text,52
.text.ql_get_battery_level,text,52
.text.ql_get_charge_cur,text,52
.text.ql_get_charge_status,text,88
.text.ql_set_battery_detect_channel,text,92
.text.ql_battery_detect_enable,text,52
.text.ql_get_battemp_vol_mv,text,108
.text.ql_get_battery_state,text,88
.rodata.__FUNCTION__.14524,rodata,14
.rodata.__FUNCTION__.14535,rodata,36
.rodata.__FUNCTION__.14554,rodata,23
.rodata.__FUNCTION__.14559,rodata,23
.rodata.__FUNCTION__.14564,rodata,116
.rodata.__FUNCTION__.14569,rodata,23
.rodata.__FUNCTION__.14579,rodata,22
.rodata.__FUNCTION__.14585,rodata,16
.rodata.__FUNCTION__.14589,rodata,18
.rodata.__FUNCTION__.14593,rodata,19
.rodata.__FUNCTION__.14597,rodata,21
.rodata.__FUNCTION__.14601,rodata,18
.rodata.__FUNCTION__.14605,rodata,21
.rodata.__FUNCTION__.14619,rodata,30
.rodata.__FUNCTION__.14623,rodata,25
.rodata.__FUNCTION__.14627,rodata,22
.rodata.__FUNCTION__.14631,rodata,21
.rodata.ql_autosleepex_enable.str1.1,rodata,37
.rodata.ql_battery_detect_enable.str1.1,rodata,45
.rodata.ql_get_battemp_vol_mv.str1.1,rodata,84
.rodata.ql_get_charge_status.str1.1,rodata,43
.rodata.ql_get_vchg_vol.str1.1,rodata,40
.rodata.ql_lpm_wakelock_create.str1.1,rodata,168
.rodata.ql_lpm_wakelock_delete.str1.1,rodata,77
.rodata.ql_lpm_wakelock_lock.str1.1,rodata,67
.rodata.ql_lpm_wakelock_unlock.str1.1,rodata,71
.rodata.ql_power_down.str1.1,rodata,181
.rodata.ql_power_reset.str1.1,rodata,162
.rodata.ql_set_battery_detect_channel.str1.1,rodata,60
.text.ql_rtc_to_sec_time,text,158
.text.ql_rtc_time_check,text,264
.text.ql_rtc_set_time,text,128
.text.ql_rtc_get_time,text,356
.text.ql_rtc_print_time,text,88
.text.ql_rtc_set_alarm,text,144
.text.ql_rtc_get_alarm,text,76
.text.ql_rtc_enable_alarm,text,180
.text.ql_rtc_register_cb,text,104
.text.ql_rtc_up_time_ms,text,4
.rodata.__FUNCTION__.8464,rodata,18
.rodata.__FUNCTION__.8471,rodata,16
.rodata.__FUNCTION__.8476,rodata,16
.rodata.__FUNCTION__.8480,rodata,18
.rodata.__FUNCTION__.8487,rodata,17
.rodata.__FUNCTION__.8491,rodata,17
.rodata.__FUNCTION__.8497,rodata,20
.rodata.__FUNCTION__.8502,rodata,19
.rodata.ql_rtc_enable_alarm.str1.1,rodata,192
.rodata.ql_rtc_get_alarm.str1.1,rodata,45
.rodata.ql_rtc_get_time.str1.1,rodata,45
.rodata.ql_rtc_print_time.str1.1,rodata,57
.rodata.ql_rtc_register_cb.str1.1,rodata,136
.rodata.ql_rtc_set_alarm.str1.1,rodata,186
.rodata.ql_rtc_set_time.str1.1,rodata,89
.rodata.ql_rtc_time_check.str1.1,rodata,573
.text.ql_get_imsi_rsp,text,72
.text.ql_cpin_read_rsp,text,104
.text.ql_clck_sim_enable_rsp,text,68
.text.ql_clck_sim_disable_rsp,text,68
.text.ql_sim_verify_pin_rsp,text,72
.text.ql_sim_change_pin_rsp,text,68
.text.ql_sim_unblock_pin_rsp,text,72
.text.ql_get_cnum_rsp,text,392
.text.ql_convert_iccid.constprop.0,text,84
.text.ql_get_ccid_rsp,text,92
.text.ql_sim_get_imsi,text,204
.text.ql_sim_get_iccid,text,240
.text.ql_sim_get_phonenumber,text,220
.text.ql_sim_get_card_status,text,220
.text.ql_sim_enable_pin,text,240
.text.ql_sim_disable_pin,text,240
.text.ql_sim_verify_pin,text,260
.text.ql_sim_change_pin,text,292
.text.ql_sim_unblock_pin,text,368
.text.ql_sim_get_pin_remain_retries,text,296
.text.ql_sim_set_operate_id,text,36
.text.ql_sim_get_operate_id,text,24
.rodata.__FUNCTION__.14742,rodata,35
.rodata.__FUNCTION__.14750,rodata,16
.rodata.__FUNCTION__.14764,rodata,17
.rodata.__FUNCTION__.14769,rodata,16
.rodata.__FUNCTION__.14778,rodata,17
.rodata.__FUNCTION__.14788,rodata,16
.rodata.__FUNCTION__.14802,rodata,23
.rodata.__FUNCTION__.14810,rodata,17
.rodata.__FUNCTION__.14817,rodata,23
.rodata.__FUNCTION__.14824,rodata,23
.rodata.__FUNCTION__.14836,rodata,18
.rodata.__FUNCTION__.14843,rodata,24
.rodata.__FUNCTION__.14855,rodata,19
.rodata.__FUNCTION__.14862,rodata,22
.rodata.__FUNCTION__.14875,rodata,18
.rodata.__FUNCTION__.14882,rodata,22
.rodata.__FUNCTION__.14899,rodata,18
.rodata.__FUNCTION__.14906,rodata,23
.rodata.__FUNCTION__.14924,rodata,19
.rodata.__FUNCTION__.14933,rodata,30
.rodata.ql_clck_sim_enable_rsp.str1.1,rodata,64
.rodata.ql_convert_iccid.constprop.0.str1.1,rodata,38
.rodata.ql_cpin_read_rsp.str1.1,rodata,105
.rodata.ql_get_ccid_rsp.str1.1,rodata,84
.rodata.ql_get_cnum_rsp.str1.1,rodata,225
.rodata.ql_get_imsi_rsp.str1.1,rodata,60
.rodata.ql_sim_change_pin_rsp.str1.1,rodata,102
.rodata.ql_sim_get_card_status.str1.1,rodata,53
.rodata.ql_sim_get_iccid.str1.1,rodata,45
.rodata.ql_sim_get_imsi.str1.1,rodata,40
.text._smsCfwStatusToQl,text,38
.text._getSmsStorageInfo.constprop.5,text,116
.text.map_get_value,text,34
.text.is_bit7_same,text,48
.text.BIT7Encoding,text,148
.text.BIT7Pack,text,164
.text.pdu_encode_single,text,972
.text.septets_length,text,56
.text.septets_to_chars,text,80
.text.content_split,text,484
.text.UpdateUDH,text,124
.text.ql_pdu_encode,text,248
.text.ql_sms_add_sca2pdu,text,148
.text._smsNodeDataStr.part.4.constprop.7,text,160
.text._smsNodeDataStr.constprop.6,text,60
.text.ql_sms_cfw_callback,text,748
.text.ql_sms_send_msg,text,468
.text.ql_sms_send_pdu,text,400
.text.ql_sms_read_msg_list,text,364
.text.ql_sms_read_msg,text,368
.text.ql_sms_delete_msg,text,236
.text.ql_sms_get_center_address,text,184
.text.ql_sms_set_center_address,text,360
.text.ql_sms_get_storage_info,text,240
.text.ql_sms_set_storage,text,240
.text.ql_sms_get_init_status,text,16
.text.ql_sms_callback_register,text,12
.rodata.BIT7Pack.str1.1,rodata,40
.rodata.__FUNCTION__.15971,rodata,18
.rodata.__FUNCTION__.16020,rodata,14
.rodata.__FUNCTION__.16035,rodata,10
.rodata.__FUNCTION__.16057,rodata,14
.rodata.__FUNCTION__.16069,rodata,19
.rodata.__FUNCTION__.16077,rodata,55
.rodata.__FUNCTION__.16122,rodata,20
.rodata.__FUNCTION__.16163,rodata,16
.rodata.__FUNCTION__.16176,rodata,53
.rodata.__FUNCTION__.16186,rodata,57
.rodata.__FUNCTION__.16202,rodata,16
.rodata.__FUNCTION__.16212,rodata,18
.rodata.__FUNCTION__.16222,rodata,26
.rodata.__FUNCTION__.16233,rodata,26
.rodata.__FUNCTION__.16244,rodata,24
.rodata.__FUNCTION__.16258,rodata,19
.rodata._smsNodeDataStr.part.4.constprop.7.str1.1,rodata,47
.rodata.bit7_decode.str1.1,rodata,52
.rodata.content_split.str1.1,rodata,104
.rodata.pdu_encode_single.str1.1,rodata,39
.rodata.ql_pdu_encode.str1.1,rodata,144
.rodata.ql_sms_add_sca2pdu.str1.1,rodata,107
.rodata.ql_sms_cfw_callback.str1.1,rodata,267
.rodata.ql_sms_delete_msg.str1.1,rodata,47
.rodata.ql_sms_get_center_address.str1.1,rodata,79
.rodata.ql_sms_get_storage_info.str1.1,rodata,45
.rodata.ql_sms_read_msg.str1.1,rodata,39
.rodata.ql_sms_read_msg_list.str1.1,rodata,160
.rodata.ql_sms_send_msg.str1.1,rodata,285
.rodata.ql_sms_set_center_address.str1.1,rodata,70
.rodata.ql_sms_set_storage.str1.1,rodata,41
.rodata.stors,rodata,32
.text.isLegalUTF8,text,118
.text.ConvertUTF8toUTF16,text,276
.text.utf8toutf16,text,68
.text.next_char,text,174
.text.utf8len,text,40
.text.utf8_get_size,text,36
.rodata.offsetsFromUTF8,rodata,24
.rodata.trailingBytesForUTF8,rodata,256
.text.ql_spi_ctrl_cs_pin,text,116
.text.ql_spi_init_ext,text,508
.text.ql_spi_init,text,144
.text.ql_spi_write_read,text,316
.text.ql_spi_read,text,236
.text.ql_spi_write,text,180
.text.ql_spi_cs_low,text,6
.text.ql_spi_cs_high,text,6
.text.ql_spi_cs_auto,text,6
.text.ql_spi_release,text,132
.rodata.__FUNCTION__.8657,rodata,29
.rodata.__FUNCTION__.8663,rodata,16
.rodata.__FUNCTION__.8699,rodata,13
.rodata.__FUNCTION__.8711,rodata,19
.rodata.ql_spi_ctrl_cs_pin.str1.1,rodata,26
.rodata.ql_spi_init_ext.str1.1,rodata,350
.rodata.ql_spi_write_read.str1.1,rodata,119
.text.ql_spi_err_to_flash_err,text,28
.text.ql_spi_nor_wait_write_finish,text,120
.text.ql_spi_nor_enable_write,text,42
.text.ql_spi_nor_page_write,text,216
.text.ql_spi_nor_init_ext,text,440
.text.ql_spi_nor_init,text,38
.text.ql_spi_nor_read,text,120
.text.ql_spi_nor_write_16bit_status,text,180
.text.ql_spi_nor_write_8bit_status,text,172
.text.ql_spi_nor_read_status_low,text,50
.text.ql_spi_nor_read_status_high,text,120
.text.ql_spi_nor_write,text,244
.text.ql_spi_nor_erase_chip,text,88
.text.ql_spi_nor_erase_sector,text,128
.text.ql_spi_nor_erase_64k_block,text,108
.rodata.CSWTCH.15,rodata,32
.rodata.__FUNCTION__.8758,rodata,20
.rodata.__FUNCTION__.8768,rodata,16
.rodata.__FUNCTION__.8779,rodata,29
.rodata.__FUNCTION__.8793,rodata,30
.rodata.__FUNCTION__.8801,rodata,29
.rodata.__FUNCTION__.8818,rodata,28
.rodata.__FUNCTION__.8841,rodata,17
.rodata.__FUNCTION__.8855,rodata,22
.rodata.__FUNCTION__.8863,rodata,24
.rodata.__FUNCTION__.8871,rodata,27
.rodata.__FUNCTION__.8879,rodata,19
.rodata.__FUNCTION__.8890,rodata,22
.rodata.ql_spi_nor_erase_sector.str1.1,rodata,34
.rodata.ql_spi_nor_init_ext.str1.1,rodata,216
.rodata.ql_spi_nor_page_write.str1.1,rodata,144
.rodata.ql_spi_nor_read.str1.1,rodata,63
.rodata.ql_spi_nor_wait_write_finish.str1.1,rodata,31
.rodata.ql_spi_nor_write_16bit_status.str1.1,rodata,36
.rodata.quec_spi_nor_flash,rodata,16
.text.ql_virt_at_get_info_by_port,text,156
.text.ql_virt_at_rx_msg_process,text,184
.text.ql_virt_at_rx_pipe_callback,text,56
.text.ql_virt_at_tx_pipe_callback,text,60
.text.ql_virt_at_read,text,148
.text.ql_virt_at_write,text,136
.text.ql_virt_at_close,text,144
.text.ql_virt_at_open,text,316
.rodata.__FUNCTION__.9487,rodata,30
.rodata.__FUNCTION__.9501,rodata,28
.rodata.__FUNCTION__.9513,rodata,26
.rodata.__FUNCTION__.9519,rodata,28
.rodata.__FUNCTION__.9525,rodata,28
.rodata.__FUNCTION__.9536,rodata,16
.rodata.__FUNCTION__.9550,rodata,17
.rodata.__FUNCTION__.9557,rodata,17
.rodata.__FUNCTION__.9566,rodata,16
.rodata.ql_virt_at_close.str1.1,rodata,43
.rodata.ql_virt_at_get_info_by_port.str1.1,rodata,135
.rodata.ql_virt_at_name,rodata,40
.rodata.ql_virt_at_open.str1.1,rodata,276
.rodata.ql_virt_at_read.str1.1,rodata,35
.rodata.ql_virt_at_rx_pipe_callback.str1.1,rodata,51
.rodata.ql_virt_at_write.str1.1,rodata,36
.text._ccwa_set_rsp,text,88
.text._ccwa_query_rsp,text,32
.text._vtsPlay,text,214
.text._ccfw_set_rsp,text,36
.text._voiceCallStateUpdate,text,44
.text._chld_volte_rsp,text,128
.text._chld_rsp,text,180
.text._qlVoiceDail,text,436
.text._getCCCount,text,68
.text._ath_rsp,text,212
.text._ssClassConvert2Ccfc,text,28
.text._ccfw_query_rsp,text,112
.text.ql_voice_auto_answer,text,16
.text.ql_voice_call_start,text,328
.text.ql_voice_call_answer,text,60
.text.ql_voice_call_end,text,200
.text.ql_voice_call_start_dtmf,text,248
.text.ql_voice_call_wait_set,text,240
.text.ql_voice_call_wait_get,text,224
.text.ql_voice_call_fw,text,392
.text.ql_voice_call_hold,text,664
.text.ql_voice_call_clcc,text,160
.text.ql_voice_call_callback_register,text,12
.rodata.CSWTCH.36,rodata,14
.rodata.__FUNCTION__.16227,rodata,16
.rodata.__FUNCTION__.16236,rodata,10
.rodata.__FUNCTION__.16246,rodata,37
.rodata.__FUNCTION__.16269,rodata,12
.rodata.__FUNCTION__.16277,rodata,9
.rodata.__FUNCTION__.16309,rodata,9
.rodata.__FUNCTION__.16332,rodata,14
.rodata.__FUNCTION__.16361,rodata,20
.rodata.__FUNCTION__.16378,rodata,18
.rodata.__FUNCTION__.16392,rodata,25
.rodata.__FUNCTION__.16402,rodata,23
.rodata.__FUNCTION__.16413,rodata,53
.rodata.__FUNCTION__.16427,rodata,40
.rodata.__FUNCTION__.16470,rodata,44
.rodata.__FUNCTION__.16485,rodata,19
.rodata._ath_rsp.str1.1,rodata,45
.rodata._ccfw_query_rsp.str1.1,rodata,5
.rodata._ccwa_set_rsp.str1.1,rodata,88
.rodata._chld_rsp.str1.1,rodata,131
.rodata._chld_volte_rsp.str1.1,rodata,117
.rodata._getCCCount.str1.1,rodata,37
.rodata._qlVoiceDail.str1.1,rodata,108
.rodata._vtsPlay.str1.1,rodata,27
.rodata.ql_voice_call_end.str1.1,rodata,97
.rodata.ql_voice_call_fw.str1.1,rodata,72
.rodata.ql_voice_call_list.str1.1,rodata,42
.rodata.ql_voice_call_start.str1.1,rodata,179
.rodata.ql_voice_call_start_dtmf.str1.1,rodata,34
.rodata.ql_voice_call_wait_set.str1.1,rodata,32
.text.quec_volte_cfg_save,text,20
.text.ql_volte_set,text,216
.text.ql_volte_get,text,16
.text.ql_volte_vdp_set,text,64
.text.ql_volte_vdp_get,text,16
.text.ql_volte_usage_set,text,64
.text.quec_volte_init,text,140
.text.ql_volte_usage_get,text,16
.rodata.__FUNCTION__.13759,rodata,16
.rodata.__FUNCTION__.13765,rodata,13
.rodata.ql_volte_set.str1.1,rodata,162
.rodata.quec_volte_cfg_save.str1.1,rodata,20
.rodata.quec_volte_init.str1.1,rodata,183
.text.quec_ssl_ctx_int,text,60
.text.quec_ssl_ctx_set_verify_mode,text,40
.text.quec_ssl_ctx_set_ca_chain,text,40
.text.quec_ssl_ctx_set_own_cert,text,40
.text.quec_ssl_ctx_set_negotiation_timeout_cb,text,40
.text.quec_ssl_ctx_get_sni,text,40
.text.quec_ssl_ctx_get_verify_mode,text,40
.text.quec_ssl_ctx_get_ca_chain,text,40
.text.quec_ssl_ctx_get_own_cert,text,40
.text.quec_ssl_open,text,60
.text.quec_ssl_close,text,30
.text.quec_ssl_free,text,30
.text.quec_ssl_set_socket_hndl,text,38
.text.quec_ssl_set_hostname,text,30
.text.quec_ssl_connect,text,30
.text.quec_ssl_write,text,30
.text.quec_ssl_read,text,30
.text.list_del,text,48
.text.list_len,text,18
.text.ql_tcpip_service_pull_tcp_data,text,144
.text.ql_tcpip_service_pull_udp_data,text,240
.text.ql_tcpip_ssl_close,text,58
.text.ql_tcpip_service_push_tcp_data,text,228
.text.ql_tcpip_service_connect_timeout_cb,text,104
.text.ql_tcpip_service_socket_evt_cb,text,132
.text.quec_tcpip_heartbeat_timer_cb,text,204
.text.ql_tcpip_service_socket_abnormal_close,text,172
.text.ql_tcpip_service_write_socket,text,684
.text.ql_tcpip_ssl_handshark_expire,text,60
.text.quec_tcpip_heartbeat_timer_start,text,236
.text.ql_tcpip_ssl_handshark,text,200
.text.quec_tcpip_is_valid_ip46_address,text,184
.text.ql_tcpip_service_open_socket,text,816
.text.ql_tcpip_service_new,text,264
.text.ql_tcpip_service_accept_socket,text,612
.text.ql_tcpip_app_cfg_get,text,204
.text.ql_tcpip_service_read_socket,text,712
.text.ql_tcpip_app_task,text,1740
.text.ql_tcpip_add_active_pdn,text,108
.text.ql_tcpip_app_start,text,236
.rodata.__FUNCTION__.16519,rodata,36
.rodata.__FUNCTION__.16532,rodata,31
.rodata.__FUNCTION__.16548,rodata,31
.rodata.__FUNCTION__.16566,rodata,31
.rodata.__FUNCTION__.16581,rodata,31
.rodata.__FUNCTION__.16597,rodata,33
.rodata.__FUNCTION__.16639,rodata,33
.rodata.__FUNCTION__.16663,rodata,39
.rodata.__FUNCTION__.16674,rodata,31
.rodata.__FUNCTION__.16688,rodata,29
.rodata.__FUNCTION__.16704,rodata,29
.rodata.__FUNCTION__.16718,rodata,30
.rodata.__FUNCTION__.16741,rodata,31
.rodata.__FUNCTION__.16755,rodata,30
.rodata.__FUNCTION__.16765,rodata,33
.rodata.__FUNCTION__.16771,rodata,40
.rodata.__FUNCTION__.16783,rodata,37
.rodata.__FUNCTION__.16800,rodata,18
.rodata.__FUNCTION__.16835,rodata,21
.rodata.__FUNCTION__.17111,rodata,21
.rodata.__FUNCTION__.17189,rodata,24
.rodata.ql_tcpip_add_active_pdn.str1.1,rodata,22
.rodata.ql_tcpip_app_start.str1.1,rodata,10
.rodata.ql_tcpip_app_task.str1.1,rodata,178
.rodata.ql_tcpip_hb_retry_interval_action.str1.1,rodata,24
.rodata.ql_tcpip_heartbeat_save_nv.str1.1,rodata,170
.rodata.ql_tcpip_service_accept_socket.str1.1,rodata,155
.rodata.ql_tcpip_service_open_socket.str1.1,rodata,195
.rodata.ql_tcpip_service_pull_tcp_data.str1.1,rodata,21
.rodata.ql_tcpip_service_push_tcp_data.str1.1,rodata,58
.rodata.ql_tcpip_service_read.str1.1,rodata,170
.rodata.ql_tcpip_service_read_socket.str1.1,rodata,137
.rodata.ql_tcpip_service_write_socket.str1.1,rodata,65
.rodata.quec_tcpip_heartbeat_timer_start.str1.1,rodata,90
.rodata.quec_tcpip_is_valid_ip46_address.str1.1,rodata,200
.text.quec_at_app_init,text,4
.text.quec_at_app_event_proc,text,38
.text.quec_cfunSimCloseRsp,text,6
.text.quec_cfunSetCommRspTimeOutCB,text,26
.text._quec_Powerdown_ex_CB,text,152
.text.quec_cfunSetCommRsp,text,16
.text.quec_read_qsvn,text,112
.text.quec_write_qsvn,text,192
.text.quec_at_setting_save,text,64
.text.quec_uart_setting_save,text,64
.text.quec_uart_setting_read,text,100
.text.quec_at_setting_read,text,64
.text.quec_usb_setting_save,text,64
.text.quec_usb_setting_read,text,88
.text.quec_wdt_cfg_read,text,76
.text.quec_at_setting_reset_default,text,20
.text.quec_power_down_ex,text,112
.text.quec_qpowd_process_task,text,164
.text.quec_exec_qpowd_cmd,text,392
.text.quec_exec_qreset_cmd,text,364
.text.atCmdHandleCGMI,text,56
.text.atCmdHandleGMI,text,4
.text.atCmdHandleCGMM,text,56
.text.atCmdHandleGMM,text,4
.text.atCmdHandleCGMR,text,56
.text.atCmdHandleGMR,text,4
.text.atCmdHandleCGSN,text,324
.text.atCmdHandleGSN,text,4
.text.atCmdHandleCGBV,text,228
.text.utiImeiIsValidate,text,44
.text.utiAddImeiCheckSum,text,98
.text.atCmdHandleEGMR,text,804
.text.atCmdHandleCFUN,text,544
.text.quec_exec_qgsn_cmd,text,4
.text.quec_exec_cversion_cmd,text,148
.text.atCmdHandleI,text,88
.text.quec_exec_csub_cmd,text,52
.text.quec_exec_qgmr_cmd,text,112
.text.quec_exec_qinf_cmd,text,40
.text.quec_exec_qprod_cmd,text,128
.text.quec_exec_qwsetmac_cmd,text,332
.text.quectel_read_urc_ind_flag,text,28
.text.quectel_set_urc_ind_flag,text,72
.text.quec_exec_qindcfg_cmd,text,444
.text.quec_at_config_init_from_nv,text,164
.text.quec_exec_ats24_cmd,text,92
.text.quec_exec_qsclk_cmd,text,176
.text.quec_exec_qsclkex_cmd,text,320
.text.atCmdHandleAndC,text,106
.text.quec_get_config,text,96
.text.atCmdHandleAndV,text,152
.text.quec_exec_cbaud_cmd,text,248
.text.quec_exec_quartcfg_cmd,text,248
.text.quec_exec_qipr_cmd,text,200
.text.quec_exec_qifc_cmd,text,248
.text.quec_exec_qicf_cmd,text,236
.text.quec_exec_qusbcfg_cmd,text,264
.text.quec_exec_qcustnvm_cmd,text,244
.text.quec_exec_at_start_app,text,36
.text.quec_convert_string_to_hex,text,124
.text.quec_exec_ebtaddr_cmd,text,392
.text.quec_bt_ble_set_localname,text,200
.text.quec_bt_ble_get_localname,text,112
.text.quec_exec_bt_ble_name_cmd,text,336
